,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20201105,000007.SZ,9.48,9.52,9.38,9.48,9.59,-0.10999999999999943,-1.147,34536.2,32639.066,1.1179,9.226,81462.829,9.2725,70718.2115,9.2363,64192.458,9.148,61533.4922,8.8481,62548.6501,8.899,68945.9403
1,20201104,000007.SZ,9.65,9.7,9.3,9.59,9.65,-0.0600000000000005,-0.6218,70735.7,67198.956,2.2896,9.204,82800.709,9.2685,73951.9515,9.2303,64796.8897,9.1345,61624.8397,8.8349,62383.1901,8.8973,68973.0475
2,20201103,000007.SZ,9.33,9.9,9.06,9.65,9.37,0.28000000000000114,2.9883,118069.17,110778.392,3.8217,9.153,78585.639,9.2385,72579.3365,9.2207,65711.5457,9.1212,62148.1113,8.8208,62000.0842,8.8947,68820.7907
3,20201102,000007.SZ,8.83,9.45,8.63,9.37,8.86,0.5099999999999998,5.7562,89668.51,82231.618,2.9024,9.101,71449.024,9.206,68121.453,9.203,62981.04,9.1073,62026.7283,8.8058,61205.9675,8.8928,68471.742
4,20201030,000007.SZ,8.85,8.92,8.81,8.86,8.87,-0.009999999999999787,-0.1127,37779.01,33482.453,1.2228,9.084,70042.673,9.1935,64979.4525,9.1947,61547.3397,9.0945,61499.0978,8.7933,60772.045,8.8922,68238.556
5,20201029,000007.SZ,8.85,9.01,8.84,8.87,8.86,0.009999999999999787,0.1129,48453.83,43149.37,1.5683,9.113,74958.462,9.212,66308.1525,9.2033,62358.589,9.0895,62249.4223,8.7858,60694.5699,8.8942,68259.98
6,20201028,000007.SZ,9.55,9.58,8.83,8.86,9.4,-0.5400000000000009,-5.7447,112036.01,101180.41,3.6264,9.178,78865.888,9.2215,65828.3125,9.2117,63709.9223,9.084,61866.4665,8.7783,60514.6757,8.8959,68214.9603
7,20201027,000007.SZ,9.13,9.59,9.04,9.4,9.12,0.28000000000000114,3.0702,193943.53,182505.648,6.2775,9.23,73451.337,9.236,62521.9075,9.2253,62619.948,9.0783,60522.2282,8.7711,59924.7985,8.898,68099.5146
8,20201026,000007.SZ,9.08,9.16,9.0,9.12,9.06,0.05999999999999872,0.6623,56368.5,51378.745,1.8245,9.243,58722.111,9.2305,54797.781,9.2167,58382.3633,9.0638,57884.8025,8.7596,58728.5893,8.8974,67800.1362
9,20201023,000007.SZ,9.2,9.41,9.03,9.06,9.26,-0.1999999999999993,-2.1598,53037.83,48793.093,1.7167,9.274,59308.527,9.236,55008.163,9.221,58892.9707,9.0543,57427.109,8.7509,58715.265,8.8994,68508.0116
10,20201022,000007.SZ,9.05,9.33,9.05,9.26,9.08,0.17999999999999972,1.9824,47915.0,43959.959,1.5509,9.319,59973.594,9.2415,55557.2725,9.2207,58081.8797,9.0458,56979.7358,8.7429,58741.6187,8.9012,69029.4043
11,20201021,000007.SZ,9.18,9.2,9.0,9.08,9.13,-0.05000000000000071,-0.5476,28585.0,26024.3,0.9252,9.333,65103.194,9.2435,55794.98,9.2187,58996.08,9.0363,56773.8527,8.7326,58743.7652,,
12,20201020,000007.SZ,9.2,9.29,9.07,9.13,9.2,-0.06999999999999851,-0.7609,46703.02,42763.423,1.5117,9.324,66573.034,9.2545,59274.499,9.2167,59028.397,9.0293,56655.3625,8.7238,59144.2248,,
13,20201019,000007.SZ,9.12,9.55,9.12,9.2,9.15,0.049999999999998934,0.5464,75605.0,70592.418,2.4472,9.311,64793.882,9.254,58747.048,9.215,58774.63,9.0213,56304.612,8.7148,58991.023,,
14,20201016,000007.SZ,9.51,9.6,9.08,9.15,9.52,-0.3699999999999992,-3.8866,86936.9,80388.453,2.814,9.303,59916.232,9.25,57299.673,9.2117,57962.067,9.0102,55645.962,8.7052,58581.2884,,
15,20201015,000007.SZ,9.3,9.65,9.23,9.52,9.38,0.1399999999999988,1.4925,87528.09,82964.97,2.8331,9.311,57657.843,9.2485,56058.6525,9.21,58118.5827,9.0043,55331.2038,8.6963,58078.528,,
16,20201014,000007.SZ,9.46,9.68,9.37,9.38,9.53,-0.14999999999999858,-1.574,57890.5,54651.434,1.8738,9.265,52790.737,9.2285,56131.9395,9.198,58257.5893,8.9998,55566.7383,8.6845,57713.5322,,
17,20201013,000007.SZ,9.44,9.53,9.33,9.53,9.43,0.09999999999999964,1.0604,46651.27,44014.886,1.51,9.242,51592.478,9.223,57204.2535,9.183,57354.0917,8.9978,55894.5855,8.6737,57617.6971,,
18,20201012,000007.SZ,9.49,9.6,9.31,9.43,9.51,-0.08000000000000007,-0.8412,62232.66,58503.479,2.0143,9.218,50873.451,9.2035,58212.4895,9.164,56551.381,9.0,56769.4628,8.6617,57493.324,,
