,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,002300.SZ,5.78,5.84,5.64,5.65,5.84,-0.1899999999999995,-3.2534,67831.91,38922.204,1.0331,5.692,58376.936,5.628,40133.787,5.5916,31578.197,5.5908,28519.6053,5.7272,34348.4398,5.7267,43147.7303,5.9677,63988.2245
1,20210726,002300.SZ,5.69,6.09,5.59,5.84,5.7,0.13999999999999968,2.4561,119680.97,69394.289,1.8227,5.684,48388.672,5.624,35673.182,5.5856,29214.211,5.5914,26909.9873,5.7322,34007.877,5.7267,42947.7446,5.9689,63984.1294
2,20210723,002300.SZ,5.66,5.73,5.63,5.7,5.66,0.040000000000000036,0.7067,46934.79,26692.174,0.7148,5.632,30701.076,5.603,27152.92,5.574,24170.588,5.5843,23860.862,5.7346,33094.5552,5.7255,42610.5537,5.9692,63922.7233
3,20210722,002300.SZ,5.62,5.66,5.59,5.66,5.61,0.04999999999999982,0.8913,33232.85,18713.039,0.5061,5.6,25166.668,5.587,25154.295,5.5705,22781.6005,5.5849,23113.2983,5.7376,33011.1313,5.7271,42647.4311,5.971,64183.1972
4,20210721,002300.SZ,5.63,5.63,5.58,5.61,5.61,0.0,0.0,24204.16,13570.773,0.3686,5.57,23054.716,5.571,24815.355,5.5694,22384.1605,5.5864,23191.7977,5.7407,32953.3887,5.7298,42761.9033,5.9737,64650.6556
5,20210720,002300.SZ,5.57,5.61,5.53,5.61,5.58,0.03000000000000025,0.5376,17890.59,9993.433,0.2725,5.564,21890.638,5.567,24388.746,5.5678,22246.6975,5.5883,23236.764,5.7438,32995.7703,5.7327,42836.9844,5.9765,65134.7109
6,20210719,002300.SZ,5.52,5.64,5.5,5.58,5.54,0.040000000000000036,0.722,31242.99,17444.471,0.4758,5.564,22957.692,5.56,24467.346,5.5692,22450.9055,5.5899,23197.9323,5.7475,33360.9102,5.7354,43118.5641,5.9785,65618.469
7,20210716,002300.SZ,5.52,5.56,5.52,5.54,5.51,0.03000000000000025,0.5445,19262.75,10673.102,0.2934,5.574,23604.764,5.559,23020.879,5.5736,22238.9395,5.5922,23000.8387,5.7529,33465.7163,5.7391,43249.9469,5.9813,66112.0349
8,20210715,002300.SZ,5.58,5.6,5.51,5.51,5.58,-0.07000000000000028,-1.2545,22673.09,12541.444,0.3453,5.574,25141.922,5.561,23005.984,5.5722,22345.614,5.5968,23104.316,5.7594,33958.451,5.743,43432.0096,5.984,66587.3792
9,20210714,002300.SZ,5.61,5.63,5.57,5.58,5.61,-0.03000000000000025,-0.5348,18383.77,10278.84,0.28,5.572,26575.994,5.5611,22976.352,5.5712,22852.006,5.603,23193.2997,5.7658,34445.9157,5.747,43668.0563,5.9861,67090.6225
