,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210507,600182.SH,13.25,13.29,13.0,13.05,13.24,-0.1899999999999995,-1.435,15441.4,20271.169,0.9083,13.78,15578.874,14.222,12564.9515,14.3697,11555.037,14.3335,12755.6105,14.769,17417.4688,,
1,20210506,600182.SH,13.14,13.43,13.13,13.24,13.21,0.02999999999999936,0.2271,11664.41,15513.517,0.6861,13.966,15057.534,14.298,12125.1815,14.434,11558.8233,14.3465,12667.6143,14.7734,17366.9238,,
2,20210430,600182.SH,13.02,13.29,12.83,13.21,13.03,0.1800000000000015,1.3814,21223.41,27717.468,1.2484,14.131,15343.693,14.359,11815.161,14.4807,11646.3447,14.3583,12606.6933,14.7753,17340.3454,,
3,20210429,600182.SH,12.61,13.45,12.61,13.03,12.81,0.21999999999999886,1.7174,60756.52,79116.179,3.5739,14.281,13994.652,14.4235,11024.5405,14.5393,11188.431,14.3715,12393.8865,14.7762,17223.892,,
4,20210428,600182.SH,12.81,12.81,12.81,12.81,13.48,-0.6699999999999999,-4.9703,10890.0,13950.09,0.6406,14.444,8692.311,14.5025,8476.218,14.6033,9537.647,14.3853,11603.603,14.7766,16783.1378,,
5,20210427,600182.SH,13.48,13.48,13.48,13.48,14.19,-0.7099999999999991,-5.0035,1616.0,2178.368,0.0951,14.617,8448.111,14.587,8824.1185,14.679,9774.516,14.4097,11682.3555,14.7788,16780.1544,,
6,20210426,600182.SH,14.19,14.19,14.19,14.19,14.94,-0.75,-5.0201,1594.0,2261.886,0.0938,14.715,9589.321,14.654,9303.0185,14.7293,10451.2827,14.4225,11863.374,14.7785,16810.9378,,
7,20210422,600182.SH,14.91,15.01,14.85,14.94,14.94,0.0,0.0,11098.0,16573.858,0.6528,14.763,10064.122,14.6765,9674.4685,14.7447,10890.6493,14.4288,12013.8373,14.7727,16849.6212,,
8,20210421,600182.SH,14.9,14.96,14.75,14.94,14.91,0.02999999999999936,0.2012,10459.0,15555.079,0.6152,14.741,10396.429,14.6625,9528.6185,14.724,10795.6397,14.421,12035.184,14.7608,16820.4378,,
9,20210420,600182.SH,14.9,15.11,14.85,14.91,14.91,0.0,0.0,11046.0,16551.004,0.6498,14.695,10178.529,14.66,9653.4685,14.7053,10915.808,14.4118,12026.769,14.7499,16796.3545,,
10,20210419,600182.SH,14.88,15.0,14.83,14.91,14.89,0.019999999999999574,0.1343,10228.0,15271.224,0.6016,14.664,9551.029,14.6645,9543.1185,14.6947,11053.9247,14.404,12047.3808,14.7406,16766.0782,,
11,20210416,600182.SH,14.71,14.97,14.68,14.89,14.71,0.17999999999999972,1.2237,14526.0,21622.952,0.8545,14.63,9192.829,14.668,9809.468,14.681,11164.3263,14.398,12064.581,14.7313,16728.5339,,
12,20210415,600182.SH,14.59,14.73,14.59,14.71,14.66,0.05000000000000071,0.3411,7733.0,11357.868,0.4549,14.587,8286.629,14.6555,9797.6705,14.6693,11549.2933,14.3895,12024.2627,14.7228,16656.7589,,
13,20210414,600182.SH,14.5,14.66,14.47,14.66,14.54,0.120000000000001,0.8253,7733.11,11300.181,0.4549,14.566,8054.429,14.6685,9785.3205,14.6557,11702.5637,14.381,12078.746,14.7165,16635.9514,,
14,20210413,600182.SH,14.49,14.54,14.32,14.54,14.46,0.0799999999999983,0.5533,8448.0,12186.281,0.4969,14.561,8260.125,14.683,9960.315,14.6363,11822.96,14.3767,12146.0777,14.7108,16613.4005,,
