,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,688096.SH,14.99,15.16,14.87,14.9,14.91,-0.009999999999999787,-0.0671,6081.46,9121.103,0.8191,15.11,6174.258,15.196,6111.677,15.275,7443.3865,15.2737,6646.8693,15.146,6529.0035,15.7027,7364.1321,19.731,7885.6639
1,20210726,688096.SH,15.26,15.29,14.86,14.91,15.23,-0.3200000000000003,-2.1011,7268.06,10908.062,0.9789,15.138,5540.198,15.289,6806.953,15.2935,7376.529,15.2863,6540.215,15.159,6545.9172,15.7122,7333.6237,19.7775,7945.3517
2,20210723,688096.SH,15.31,15.45,15.09,15.23,15.3,-0.07000000000000028,-0.4575,7326.54,11159.721,0.9868,15.168,5525.312,15.395,7910.184,15.327,7310.508,15.302,6486.7053,15.177,6541.7865,15.7195,7297.478,19.8221,8025.6932
3,20210722,688096.SH,15.27,15.3,15.08,15.3,15.21,0.08999999999999986,0.5917,6003.4,9140.365,0.8086,15.196,5114.294,15.437,8684.125,15.334,7198.1425,15.3043,6424.1683,15.1875,6580.1232,15.7278,7257.6782,19.8707,8136.639
4,20210721,688096.SH,15.09,15.3,15.09,15.21,15.04,0.1700000000000017,1.1303,4191.83,6379.486,0.5646,15.212,5269.504,15.442,9455.72,15.3425,7041.12,15.3047,6395.6123,15.203,6606.5105,15.7389,7234.0483,19.9282,8299.9302
5,20210720,688096.SH,15.04,15.06,14.96,15.04,15.06,-0.02000000000000135,-0.1328,2911.16,4367.666,0.3921,15.282,6049.096,15.452,9693.94,15.3605,7156.612,15.3113,6411.7937,15.2303,6666.0892,15.752,7222.0638,19.9817,8430.1166
6,20210719,688096.SH,15.35,15.4,14.9,15.06,15.37,-0.3099999999999987,-2.0169,7193.63,10826.191,0.9689,15.44,8073.708,15.464,9864.347,15.3775,7261.9825,15.324,6430.8947,15.2568,6808.9038,15.7668,7234.9833,20.0338,8565.5388
7,20210716,688096.SH,15.31,15.52,15.31,15.37,15.38,-0.010000000000001563,-0.065,5271.45,8127.976,0.71,15.622,10295.056,15.473,9441.426,15.3845,7069.9085,15.335,6401.6013,15.2848,7109.9987,15.7786,7220.6178,20.0858,8678.1233
8,20210715,688096.SH,15.68,15.68,15.21,15.38,15.56,-0.17999999999999972,-1.1568,6779.45,10414.996,0.9131,15.678,12253.956,15.422,9322.258,15.3655,7030.686,15.335,6633.464,15.304,7419.6595,15.7882,7230.5342,20.1335,8780.5198
9,20210714,688096.SH,15.82,15.87,15.52,15.56,15.83,-0.2699999999999996,-1.7056,8089.79,12661.101,1.0896,15.672,13641.936,15.38,9101.557,15.3495,6990.736,15.3467,6814.0093,15.3183,7508.5748,15.7949,7224.8868,20.1808,8930.9242
10,20210713,688096.SH,15.83,15.99,15.64,15.83,15.97,-0.14000000000000057,-0.8766,13034.22,20555.274,1.7556,15.622,13338.784,15.354,8775.096,15.3125,6914.4655,15.3487,6904.1467,15.3237,7565.5132,15.7972,7218.4988,20.2236,9017.6235
11,20210712,688096.SH,15.74,16.09,15.54,15.97,15.65,0.3200000000000003,2.0447,18300.37,28829.483,2.4649,15.488,11654.986,15.298,7946.105,15.285,6406.846,15.3283,6632.7403,15.3185,7425.36,15.8005,7162.8332,,
12,20210709,688096.SH,15.3,15.65,15.15,15.65,15.35,0.3000000000000007,1.9544,15065.95,23324.698,2.0292,15.324,8587.796,15.259,6710.832,15.2555,5774.966,15.3013,6192.951,15.3117,7320.3707,15.8033,7055.544,,
13,20210708,688096.SH,15.32,15.44,14.9,15.35,15.31,0.03999999999999915,0.2613,13719.35,20809.026,1.8479,15.166,6390.56,15.231,5712.16,15.238,5294.19,15.2903,5866.7197,15.304,7409.4813,15.8159,6960.161,,
14,20210707,688096.SH,15.16,15.45,15.14,15.31,15.16,0.15000000000000036,0.9894,6574.03,10064.55,0.8855,15.088,4561.178,15.243,4626.52,15.236,4865.5585,15.2887,5709.6467,15.3152,7503.1718,15.8317,6918.6497,,
15,20210706,688096.SH,15.35,15.4,15.04,15.16,15.15,0.009999999999999787,0.066,4615.23,7013.579,0.6216,15.086,4211.408,15.269,4619.284,15.241,4770.7205,15.2733,5680.7643,15.3378,7571.9657,15.8578,6896.2566,,
16,20210705,688096.SH,14.92,15.24,14.92,15.15,14.86,0.2900000000000009,1.9515,2964.42,4482.432,0.3993,15.108,4237.224,15.291,4659.618,15.254,4714.1685,15.2593,5734.3327,15.359,7600.2865,15.891,6891.6038,,
17,20210702,688096.SH,14.96,14.96,14.77,14.86,14.96,-0.10000000000000142,-0.6684,4079.77,6062.471,0.5495,15.194,4833.868,15.296,4698.391,15.266,4881.689,15.237,5802.8273,15.3782,7629.6152,15.925,6899.9465,,
18,20210701,688096.SH,15.39,15.39,14.86,14.96,15.3,-0.33999999999999986,-2.2222,4572.44,6922.144,0.6159,15.296,5033.76,15.309,4739.114,15.2915,5289.067,15.229,5809.818,15.3977,7629.166,15.959,6904.9113,,
19,20210630,688096.SH,15.24,15.47,15.22,15.3,15.27,0.030000000000001137,0.1965,4825.18,7392.643,0.6499,15.398,4691.862,15.319,4879.915,15.33,5670.2355,15.212,5784.267,15.4133,7635.778,15.991,6893.9836,,
20,20210629,688096.SH,15.6,15.6,15.27,15.27,15.58,-0.3100000000000005,-1.9897,4744.31,7310.466,0.639,15.452,5027.16,15.271,5053.835,15.346,5968.672,15.1903,5818.2847,15.4308,7619.5508,16.0182,6885.0533,,
21,20210628,688096.SH,15.4,15.64,15.28,15.58,15.37,0.21000000000000085,1.3663,5947.64,9219.186,0.8011,15.474,5082.012,15.272,4867.587,15.3435,5976.058,15.161,5975.77,15.4443,7632.4532,16.0464,6903.9662,,
22,20210625,688096.SH,15.59,15.59,15.18,15.37,15.47,-0.10000000000000142,-0.6464,5079.23,7801.328,0.6841,15.398,4562.914,15.252,4839.1,15.3225,5934.0105,15.136,6046.3847,15.4597,7678.6548,16.0717,6892.1981,,
23,20210624,688096.SH,15.62,15.62,15.34,15.47,15.57,-0.09999999999999964,-0.6423,2862.95,4433.148,0.3856,15.322,4444.468,15.245,4876.22,15.32,5943.9995,15.1093,6148.745,15.487,7696.0675,16.1002,6904.005,,
24,20210623,688096.SH,15.38,15.65,15.29,15.57,15.38,0.1899999999999995,1.2354,6501.67,10073.261,0.8757,15.24,5067.968,15.229,5104.597,15.3115,6251.21,15.0793,6244.9683,15.5122,7846.0837,16.1291,6923.2082,,
25,20210622,688096.SH,15.29,15.48,15.19,15.38,15.2,0.1800000000000015,1.1842,5018.57,7708.281,0.676,15.09,5080.51,15.213,4922.157,15.2755,6211.5045,15.0443,6221.6513,15.5532,7993.6052,16.1618,6915.3686,,
26,20210621,688096.SH,14.93,15.22,14.87,15.2,14.99,0.20999999999999908,1.4009,3352.15,5077.484,0.4515,15.07,4653.162,15.217,4768.719,15.2435,6271.69,15.0133,6282.4433,15.5878,8088.8767,16.203,6905.6788,,
27,20210618,688096.SH,15.06,15.07,14.82,14.99,15.06,-0.07000000000000028,-0.4648,4487.0,6698.345,0.6044,15.106,5115.286,15.236,5064.987,15.2075,6355.0455,14.995,6402.0637,15.6357,8293.0667,16.2454,6907.6054,,
28,20210617,688096.SH,14.94,15.22,14.71,15.06,14.82,0.2400000000000002,1.6194,5980.45,8936.219,0.8055,15.168,5307.972,15.274,5839.02,15.189,6345.17,14.9937,6497.0257,15.673,8403.035,16.2941,6913.8003,,
29,20210616,688096.SH,15.3,15.3,14.79,14.82,15.28,-0.4599999999999991,-3.0105,6564.38,9852.471,0.8842,15.218,5141.226,15.341,6460.556,15.1585,6236.443,14.9967,6509.448,15.7068,8455.0058,16.3433,6905.9818,,
30,20210615,688096.SH,15.54,15.57,15.09,15.28,15.38,-0.10000000000000142,-0.6502,2881.83,4385.707,0.3882,15.336,4763.804,15.421,6883.509,15.15,6200.5095,15.0183,6411.1377,15.7398,8469.1708,16.3934,6875.0203,,
31,20210611,688096.SH,15.44,15.6,15.31,15.38,15.3,0.08000000000000007,0.5229,5662.77,8760.973,0.7627,15.364,4884.276,15.415,7084.529,15.1055,6529.8615,15.0317,6551.6193,15.7683,8648.5,16.4414,6874.7298,,
32,20210610,688096.SH,15.31,15.4,15.23,15.3,15.31,-0.009999999999999787,-0.0653,5450.43,8349.634,0.7341,15.366,5014.688,15.393,7028.921,15.078,6650.027,15.052,6596.8677,15.7783,8610.5798,16.4872,6880.2146,,
33,20210609,688096.SH,15.3,15.46,15.26,15.31,15.41,-0.09999999999999964,-0.6489,5146.72,7893.681,0.6932,15.38,6370.068,15.395,7011.779,15.0415,6785.0075,15.0707,6736.078,15.7927,8649.2813,16.5403,6852.1809,,
34,20210608,688096.SH,15.33,15.65,15.23,15.41,15.42,-0.009999999999999787,-0.0649,4677.27,7203.758,0.63,15.464,7779.886,15.394,7397.823,15.0045,6815.154,15.1013,6817.4087,15.8018,8686.5455,16.5937,6844.9243,,
35,20210607,688096.SH,15.43,15.49,15.3,15.42,15.39,0.02999999999999936,0.1949,3484.19,5365.164,0.4693,15.506,9003.214,15.338,7500.852,14.96,6871.3985,15.1493,6920.3847,15.8115,8662.1408,16.6518,6831.5593,,
36,20210604,688096.SH,15.46,15.46,15.08,15.39,15.37,0.02000000000000135,0.1301,6314.83,9682.831,0.8505,15.466,9284.782,15.27,7774.661,14.9115,7039.3055,15.1897,7186.913,15.8305,8699.5607,16.7125,6831.0825,,
37,20210603,688096.SH,15.7,15.87,15.37,15.37,15.73,-0.3600000000000012,-2.2886,12227.33,19084.497,1.6469,15.42,9043.154,15.179,7645.104,14.8745,7070.602,15.2347,7818.396,15.8607,8714.9832,16.7772,6796.0643,,
38,20210602,688096.SH,15.74,16.14,15.5,15.73,15.62,0.11000000000000121,0.7042,12195.81,19283.912,1.6427,15.41,7653.49,15.104,6851.32,14.8535,6826.0285,15.273,8205.855,15.8895,8584.3368,16.8429,6714.9502,,
39,20210601,688096.SH,15.33,15.93,15.22,15.62,15.22,0.3999999999999986,2.6281,10793.91,16871.275,1.4538,15.324,7015.76,14.976,6012.33,14.8245,6533.894,15.29,8203.1403,15.9143,8462.4295,16.9082,6629.4585,,
40,20210531,688096.SH,15.06,15.35,15.04,15.22,15.16,0.0600000000000005,0.3958,4892.03,7435.043,0.6589,15.17,5998.49,14.879,5517.51,14.817,6174.952,15.2987,8226.8797,15.9448,8400.5987,16.9737,6559.4319,,
41,20210528,688096.SH,15.31,15.45,15.0,15.16,15.32,-0.16000000000000014,-1.0444,5106.69,7768.579,0.6878,15.074,6264.54,14.796,5975.194,14.84,6285.1645,15.3087,8217.9797,15.9817,8510.0235,17.0428,6538.0113,,
