,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600031.SH,20200930,24.74,25.08,24.62,24.89,24.74,0.15,0.6063,491498.09,1222149.714
1,600031.SH,20200929,24.8,24.94,24.45,24.74,24.75,-0.01,-0.0404,354184.63,873924.157
2,600031.SH,20200928,24.62,25.12,24.53,24.75,24.28,0.47,1.9357,532915.62,1322422.68
3,600031.SH,20200925,24.75,24.82,23.92,24.28,24.61,-0.33,-1.3409,448398.26,1091392.809
4,600031.SH,20200924,24.7,24.93,24.41,24.61,25.0,-0.39,-1.56,388593.87,956805.377
5,600031.SH,20200923,24.9,25.4,24.76,25.0,24.73,0.27,1.0918,473583.89,1186164.751
6,600031.SH,20200922,24.8,25.18,24.5,24.73,25.22,-0.49,-1.9429,599194.8,1480976.249
7,600031.SH,20200921,25.17,25.76,25.0,25.22,25.2,0.02,0.0794,615523.87,1560267.526
8,600031.SH,20200918,24.87,25.45,24.51,25.2,25.06,0.14,0.5587,862338.91,2159126.861
9,600031.SH,20200917,23.9,25.19,23.81,25.06,24.05,1.01,4.1996,1133604.04,2813510.841
10,600031.SH,20200916,23.9,24.7,23.8,24.05,24.02,0.03,0.1249,816550.67,1978847.579
11,600031.SH,20200915,22.92,24.1,22.67,24.02,22.94,1.08,4.7079,910780.96,2158226.673
12,600031.SH,20200914,23.3,23.5,22.73,22.94,23.07,-0.13,-0.5635,605913.51,1390969.678
13,600031.SH,20200911,22.74,23.19,22.4,23.07,22.86,0.21,0.9186,475510.25,1087238.126
14,600031.SH,20200910,22.57,23.2,22.55,22.86,22.39,0.47,2.0992,734638.61,1686139.539
15,600031.SH,20200909,23.02,23.03,22.07,22.39,23.38,-0.99,-4.2344,788890.76,1769326.526
16,600031.SH,20200908,22.6,23.38,22.43,23.38,22.41,0.97,4.3284,741714.73,1698997.902
17,600031.SH,20200907,23.26,23.3,22.15,22.41,23.18,-0.77,-3.3218,744515.9,1690659.967
18,600031.SH,20200904,23.26,23.7,22.9,23.18,23.78,-0.6,-2.5231,745187.65,1728850.789
19,600031.SH,20200903,23.6,24.39,23.3,23.78,23.21,0.57,2.4558,1134896.17,2705479.227
20,600031.SH,20200902,22.58,23.35,22.29,23.21,22.2,1.01,4.5495,999767.39,2286144.915
21,600031.SH,20200901,22.33,22.4,21.95,22.2,22.14,0.06,0.271,424245.27,939907.14
22,600031.SH,20200831,22.57,23.15,22.13,22.14,22.35,-0.21,-0.9396,751450.31,1692195.989
23,600031.SH,20200828,21.24,22.53,21.24,22.35,22.68,-0.33,-1.455,1227940.63,2716370.595
24,600031.SH,20200827,22.56,22.9,22.3,22.68,22.25,0.43,1.9326,871875.18,1976006.013
25,600031.SH,20200826,22.42,22.85,22.0,22.25,22.42,-0.17,-0.7583,740499.94,1657908.985
26,600031.SH,20200825,22.2,22.59,21.88,22.42,21.98,0.44,2.0018,859928.24,1920986.843
27,600031.SH,20200824,21.11,22.19,20.99,21.98,21.1,0.88,4.1706,1295134.94,2840129.872
28,600031.SH,20200821,21.45,21.54,20.85,21.1,21.31,-0.21,-0.9855,467555.91,986358.125
29,600031.SH,20200820,21.2,21.84,21.07,21.31,21.26,0.05,0.2352,596337.12,1278795.742
30,600031.SH,20200819,21.19,21.75,21.17,21.26,21.19,0.07,0.3303,728040.89,1563829.654
31,600031.SH,20200818,21.3,21.34,21.06,21.19,21.3,-0.11,-0.5164,387062.25,820800.197
32,600031.SH,20200817,20.45,21.4,20.45,21.3,20.4,0.9,4.4118,952736.29,2006173.246
33,600031.SH,20200814,20.2,20.45,19.9,20.4,20.23,0.17,0.8403,614042.45,1238508.432
34,600031.SH,20200813,20.4,20.46,20.16,20.23,20.31,-0.08,-0.3939,376899.92,765182.451
35,600031.SH,20200812,20.9,20.9,19.85,20.31,20.86,-0.55,-2.6366,915424.0,1849286.465
36,600031.SH,20200811,21.16,21.45,20.86,20.86,21.05,-0.19,-0.9026,610290.36,1290646.177
37,600031.SH,20200810,21.06,21.3,20.73,21.05,21.17,-0.12,-0.5668,597944.04,1258735.821
38,600031.SH,20200807,21.0,21.44,20.92,21.17,20.97,0.2,0.9537,719795.93,1523748.219
39,600031.SH,20200806,21.31,21.36,20.69,20.97,21.31,-0.34,-1.5955,815159.02,1709106.812
40,600031.SH,20200805,21.81,21.84,21.01,21.31,21.81,-0.5,-2.2925,1026937.39,2184380.813
41,600031.SH,20200804,21.5,21.85,21.36,21.81,21.5,0.31,1.4419,865796.55,1873451.72
42,600031.SH,20200803,21.1,21.76,21.05,21.5,21.11,0.39,1.8475,1082577.5,2316662.014
43,600031.SH,20200731,21.05,21.59,20.85,21.11,21.31,-0.2,-0.9385,864491.57,1825436.663
44,600031.SH,20200730,21.41,21.99,21.24,21.31,21.42,-0.11,-0.5135,658903.67,1421010.68
45,600031.SH,20200729,21.0,21.43,20.6,21.42,21.02,0.4,1.9029,675959.09,1428657.096
46,600031.SH,20200728,21.3,21.37,20.8,21.02,21.13,-0.11,-0.5206,661062.66,1392758.921
47,600031.SH,20200727,21.1,21.6,20.9,21.13,21.1,0.03,0.1422,599076.86,1271631.602
48,600031.SH,20200724,22.12,22.18,20.67,21.1,21.8,-0.7,-3.211,1056436.45,2259425.521
49,600031.SH,20200723,21.58,21.97,21.0,21.8,21.79,0.01,0.0459,946981.3,2039145.75
