date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-05-28 14:00:00,18.23,18.41,18.26,18.19,102669.0,0.03,0.16,18.378,18.582,18.739,133281.0,153485.0,164204.0,0.12
2020-05-28 15:00:00,18.28,18.41,18.4,18.24,165863.0,0.12,0.66,18.378,18.529,18.71,142746.0,155758.0,163394.0,0.2
2020-05-29 10:30:00,18.34,18.54,18.4,18.22,143310.0,0.06,0.33,18.37,18.468,18.6915,141011.0,160385.0,159855.0,0.17
2020-05-29 11:30:00,18.39,18.4,18.33,18.3,84431.6,-0.06,-0.33,18.328,18.39,18.679,117431.0,157261.0,159240.0,0.1
2020-05-29 14:00:00,18.35,18.48,18.46,18.27,124913.0,0.11,0.6,18.37,18.39,18.6615,124237.0,139350.0,154758.0,0.15
2020-05-29 15:00:00,18.46,18.46,18.4,18.34,118339.0,-0.06,-0.33,18.398,18.388,18.644,127371.0,130326.0,152889.0,0.14
2020-06-01 10:30:00,18.65,18.75,18.63,18.43,258844.0,-0.02,-0.11,18.444,18.411,18.629,145967.0,144357.0,153983.0,0.31
2020-06-01 11:30:00,18.63,18.7,18.68,18.59,93217.0,0.05,0.27,18.5,18.435,18.6215,135949.0,138480.0,152418.0,0.11
2020-06-01 14:00:00,18.7,18.96,18.94,18.7,210789.0,0.24,1.28,18.622,18.475,18.6155,161220.0,139326.0,156000.0,0.25
2020-06-01 15:00:00,18.94,18.96,18.83,18.8,143024.0,-0.11,-0.58,18.696,18.533,18.6005,164843.0,144540.0,155290.0,0.17
2020-06-02 10:30:00,18.87,18.87,18.69,18.64,239738.0,-0.18,-0.95,18.754,18.576,18.579,189122.0,158247.0,155866.0,0.29
2020-06-02 11:30:00,18.69,18.7,18.58,18.56,121532.0,-0.11,-0.59,18.744,18.594,18.5615,161660.0,153814.0,154786.0,0.14
2020-06-02 14:00:00,18.6,18.77,18.74,18.6,113919.0,0.14,0.75,18.756,18.628,18.548,165800.0,150875.0,155630.0,0.14
2020-06-02 15:00:00,18.74,18.75,18.65,18.59,197761.0,-0.09,-0.48,18.698,18.66,18.525,163195.0,162208.0,159734.0,0.24
2020-06-03 10:30:00,18.64,19.34,19.22,18.64,482381.0,0.58,3.11,18.776,18.736,18.563,231066.0,197954.0,168652.0,0.57
2020-06-03 11:30:00,19.21,19.3,19.3,19.16,151132.0,0.09,0.47,18.898,18.826,18.607,213345.0,201234.0,165780.0,0.18
2020-06-03 14:00:00,19.28,19.3,19.04,18.98,174178.0,-0.24,-1.24,18.99,18.867,18.639,223874.0,192767.0,168562.0,0.21
2020-06-03 15:00:00,19.04,19.05,18.91,18.86,147826.0,-0.13,-0.68,19.024,18.89,18.6625,230656.0,198228.0,168354.0,0.18
2020-06-04 10:30:00,19.06,19.1,18.92,18.72,205933.0,-0.14,-0.73,19.078,18.888,18.6815,232290.0,197742.0,168534.0,0.24
