,code
0,002180.SZ
0,002179.SZ
0,002176.SZ
0,002171.SZ
0,002170.SZ
0,002167.SZ
0,002160.SZ
0,002155.SZ
0,002149.SZ
0,002145.SZ
0,002141.SZ
0,002140.SZ
0,002138.SZ
0,002135.SZ
0,002132.SZ
0,002129.SZ
0,002128.SZ
0,002126.SZ
0,002125.SZ
0,002121.SZ
0,002119.SZ
0,002114.SZ
0,002112.SZ
0,002110.SZ
0,002109.SZ
0,002097.SZ
0,002092.SZ
0,002073.SZ
0,002057.SZ
0,002056.SZ
0,002049.SZ
0,002037.SZ
0,002031.SZ
0,002025.SZ
0,002023.SZ
0,002016.SZ
0,002013.SZ
0,002012.SZ
0,002006.SZ
0,002003.SZ
0,002002.SZ
0,000998.SZ
0,000990.SZ
0,000988.SZ
0,000983.SZ
0,000960.SZ
0,000959.SZ
0,000958.SZ
0,000952.SZ
0,000937.SZ
0,000933.SZ
0,000932.SZ
0,000925.SZ
0,000912.SZ
0,000901.SZ
0,000898.SZ
0,000893.SZ
0,000878.SZ
0,000839.SZ
0,000833.SZ
0,000825.SZ
0,000822.SZ
0,000821.SZ
0,000818.SZ
0,000816.SZ
0,000811.SZ
0,000795.SZ
0,000782.SZ
0,000778.SZ
0,000776.SZ
0,000762.SZ
0,000758.SZ
0,000751.SZ
0,000733.SZ
0,000731.SZ
0,000717.SZ
0,000716.SZ
0,000713.SZ
0,000711.SZ
0,000709.SZ
0,000708.SZ
0,000701.SZ
0,000698.SZ
0,000697.SZ
0,000688.SZ
0,000683.SZ
0,000666.SZ
0,000659.SZ
0,000657.SZ
0,000655.SZ
0,000637.SZ
0,000636.SZ
0,000633.SZ
0,000630.SZ
0,000629.SZ
0,000626.SZ
0,000612.SZ
0,000603.SZ
0,000597.SZ
0,000591.SZ
0,000572.SZ
0,000567.SZ
0,000565.SZ
0,000561.SZ
0,000548.SZ
0,000547.SZ
0,000544.SZ
0,000541.SZ
0,000534.SZ
0,000510.SZ
0,000507.SZ
0,000506.SZ
0,000505.SZ
0,000498.SZ
0,000430.SZ
0,000426.SZ
0,000415.SZ
0,000408.SZ
0,000400.SZ
0,000338.SZ
0,000301.SZ
0,000166.SZ
0,000159.SZ
0,000155.SZ
0,000151.SZ
0,000099.SZ
0,000068.SZ
0,000060.SZ
0,000055.SZ
0,000025.SZ
0,000019.SZ
0,000010.SZ
